id,gender,age,famsize
394,female,38,5
395,male,54,1
396,female,34,3
397,female,53,3
398,female,36,2
399,female,41,5
400,female,34,5
401,female,57,2
402,female,56,1
403,male,35,4
404,male,44,2
405,male,51,2
406,female,44,2
407,male,38,5
408,female,21,2
409,female,54,2
410,male,35,1
411,female,18,5
412,female,24,1
413,female,20,2
414,male,39,3
415,male,46,4
416,female,36,1
417,female,42,1
418,female,34,3
419,female,35,3
420,male,53,4
421,female,51,4
422,male,26,2
423,female,51,1
424,female,37,5
425,male,50,1
426,female,35,4
427,male,18,3
428,female,37,3
429,male,52,4
430,male,27,1
431,male,41,3
432,male,29,1
433,female,33,3
434,male,56,1
435,female,47,2
436,female,47,5
437,female,58,1
438,male,48,4
439,female,27,4
440,female,51,2
441,female,51,3
442,female,52,2
443,female,46,4
444,female,35,2
445,female,20,4
446,female,39,1
447,female,26,3
448,female,49,1
449,male,34,1
450,female,22,2
451,female,59,4
452,male,55,5
453,female,30,2
454,female,37,1
455,female,47,4
456,female,22,2
457,female,50,5
458,female,50,4
459,female,44,2
460,female,18,5
461,female,56,4
462,female,46,4
463,male,35,4
464,male,37,5
465,male,56,1
466,female,50,1
467,female,43,1
468,male,44,3
469,female,34,4
470,male,38,4
471,female,28,5
472,female,48,2
473,female,20,5
474,female,37,3
475,female,34,4
476,male,20,1
477,male,27,3
478,female,56,1
479,female,46,2
480,male,24,4
481,female,58,2
482,female,50,1
483,female,42,1
484,female,37,4
485,female,55,2
486,female,40,3
487,female,47,1
488,female,56,3
489,female,54,2
490,male,50,3
491,female,48,5
492,female,29,1
493,female,46,5
494,male,52,4
495,male,51,3
496,female,33,1
497,female,45,1
498,male,32,3
499,female,30,1
500,female,30,1
501,female,20,4
502,female,44,4
503,female,36,5
504,male,22,5
505,female,56,3
506,female,37,2
507,female,49,4
508,male,31,5
509,female,55,1
510,female,58,1
511,male,54,2
512,male,18,1
513,female,27,5
514,female,58,4
515,female,39,4
516,female,46,4
517,female,25,3
518,female,36,4
519,female,50,1
520,female,33,3
521,female,49,5
522,female,57,5
523,female,42,5
524,female,19,4
525,female,33,4
526,female,26,5
527,female,34,4
528,male,33,5
529,male,20,3
530,female,27,2
531,female,23,2
532,female,30,4
533,male,41,5
534,female,45,2
535,female,43,1
536,female,54,4
537,female,22,5
538,male,18,5
539,male,53,1
540,female,33,1
541,female,21,5
542,male,29,3
543,female,19,5
544,female,40,5
545,female,57,3
546,female,42,4
547,male,31,2
548,female,20,3
549,male,46,2
550,female,50,1
551,male,24,3
552,male,49,4
553,female,57,4
554,female,55,3
555,male,18,5
556,male,20,2
557,female,44,5
558,female,47,2
559,female,36,5
560,female,33,2
561,female,55,2
562,female,44,3
563,female,21,4
564,male,57,5
565,female,28,3
566,female,24,2
567,female,41,1
568,female,29,2
569,female,46,1
570,female,34,1
571,female,20,4
572,male,49,4
573,female,59,1
574,male,49,3
575,female,37,1
576,male,46,2
577,female,37,3
578,female,50,5
579,female,22,5
580,female,36,4
581,female,35,4
582,female,55,4
583,female,49,2
584,female,53,3
585,female,37,2
586,female,37,2
587,female,20,3
588,male,21,3
589,female,22,4
590,male,38,3
591,female,57,2
592,female,58,4
593,female,43,1
594,female,59,4
595,female,25,2
596,male,30,2
597,female,59,1
598,male,58,5
599,female,41,2
600,male,24,3
601,female,55,3
602,female,36,3
603,female,42,5
604,female,55,2
605,female,48,1
606,female,23,1
607,male,48,2
608,female,45,1
609,female,45,5
610,female,47,2
611,male,34,2
612,female,46,1
613,male,29,1
614,female,20,5
615,female,44,1
616,male,40,1
617,female,36,1
618,male,48,2
619,female,46,4
620,female,52,4
621,male,47,5
622,male,46,4
623,male,36,1
624,female,33,3
625,female,58,5
626,female,55,5
627,female,50,1
628,female,25,4
629,female,20,4
630,female,25,5
631,male,48,4
632,female,32,4
633,male,30,3
634,male,53,3
635,male,23,4
636,female,36,5
637,male,48,2
638,female,59,1
639,male,51,1
640,female,20,1
641,female,34,5
642,male,49,3
643,female,22,4
644,female,57,2
645,male,48,1
646,female,45,1
647,male,31,1
648,female,58,1
649,female,53,5
650,male,22,5
651,male,38,3
652,female,53,4
653,male,40,3
654,female,52,3
655,female,24,1
656,female,42,4
657,female,51,4
658,female,56,1
659,female,31,4
660,female,29,5
661,female,30,3
662,female,59,3
663,female,36,4
664,male,25,2
665,female,27,5
666,male,56,4
667,male,37,4
668,female,47,2
669,male,24,1
670,male,39,1
671,male,29,1
672,female,20,2
673,female,19,4
674,female,48,2
675,female,43,2
676,female,53,4
677,female,47,1
678,male,32,1
679,female,52,2
680,female,33,3
681,male,18,3
682,female,45,4
683,female,50,4
684,male,33,4
685,female,32,2
686,female,53,1
687,female,21,5
688,female,38,1
689,female,48,4
690,male,48,4
691,male,20,5
692,male,24,3
693,male,50,4
694,female,31,2
695,male,41,5
696,female,30,3
697,female,59,3
698,female,58,1
699,male,50,5
700,female,43,3
701,male,30,2
702,male,47,3
703,female,20,5
704,female,55,4
705,female,18,3
706,male,36,4
707,female,18,3
708,female,57,1
709,female,45,1
710,male,34,3
711,male,35,5
712,female,45,1
713,female,49,5
714,male,37,5
715,male,37,2
716,female,31,4
717,male,29,2
718,female,20,1
719,male,32,1
720,female,52,5
721,female,26,3
722,female,25,5
723,male,48,5
724,male,26,1
725,female,40,5
726,female,46,2
727,female,52,3
728,male,50,5
729,female,47,3
730,female,51,2
731,female,40,5
732,female,50,5
733,female,48,2
734,male,53,3
735,female,49,3
736,male,31,2
737,male,50,1
738,female,38,5
739,male,22,3
740,male,37,5
741,female,29,3
742,female,18,5
743,male,19,3
744,female,34,2
745,male,19,5
746,female,28,4
747,male,28,4
748,female,21,5
749,female,52,3
750,female,33,2
751,female,54,5
752,female,56,1
753,male,29,5
754,male,32,3
755,female,49,5
756,female,43,3
757,male,38,3
758,male,59,2
759,female,43,2
760,male,28,5
761,female,40,2
762,female,56,5
763,female,32,3
764,male,21,3
765,female,25,4
766,male,47,4
767,male,47,2
768,male,20,1
769,female,38,2
770,male,45,4
771,male,21,1
772,female,56,3
773,male,20,4
774,male,28,4
775,female,35,4
776,male,49,5
777,female,37,1
778,female,56,4
779,female,23,1
780,female,20,5
781,female,31,3
782,male,55,1
783,female,56,3
784,female,39,3
785,male,41,4
786,female,54,4
787,male,57,4
788,female,26,1
789,female,59,3
790,female,24,4
791,female,18,2
792,female,25,2
793,female,57,4
794,female,44,5
795,male,55,3
796,male,34,1
797,female,51,4
798,female,51,4
799,female,43,3
800,male,26,2
801,male,18,5
802,male,53,4
803,female,37,3
804,female,59,1
805,female,49,2
806,female,35,2
807,male,25,3
808,female,52,4
809,female,21,4
810,male,59,5
811,female,56,3
812,male,47,2
813,female,58,4
814,female,54,1
815,female,59,2
816,female,40,5
817,female,47,5
818,male,28,4
819,male,23,1
820,female,41,4
821,male,43,4
822,female,58,5
823,female,29,4
824,male,56,2
825,male,30,4
826,female,32,2
827,female,35,3
828,female,26,1
829,female,24,3
830,female,49,4
831,male,44,1
832,female,51,4
833,male,30,3
834,female,21,3
835,male,48,4
836,female,23,5
837,male,50,2
838,female,56,1
839,female,55,2
840,male,56,5
841,female,39,2
842,female,44,5
843,female,44,1
844,female,36,4
845,male,41,1
846,male,46,2
847,male,23,5
848,female,39,5
849,female,24,1
850,female,24,2
851,male,42,4
852,male,27,5
853,female,23,5
854,male,36,4
855,male,36,2
856,female,44,4
857,male,18,3
858,female,18,1
859,female,28,3
860,male,48,2
861,female,33,2
862,female,27,5
863,female,59,1
864,female,19,5
865,female,52,3
866,female,57,3
867,male,48,2
868,male,45,3
869,male,21,1
870,female,20,1
871,female,57,1
872,female,40,3
873,female,31,1
874,female,44,2
875,male,54,2
876,female,48,5
877,male,25,3
878,female,34,1
879,female,26,1
880,female,41,1
881,male,55,2
882,female,39,4
883,female,29,1
884,female,30,3
885,female,58,4
886,male,33,1
887,female,59,1
888,male,42,4
889,female,48,4
890,female,32,5
891,female,44,5
892,female,48,5
893,male,27,1
894,female,41,2
895,female,35,1
896,male,26,2
897,female,46,2
898,female,36,3
899,male,36,1
900,female,52,1
901,male,27,2
902,female,54,1
903,female,31,4
904,male,35,5
905,female,37,3
906,male,57,4
907,male,29,3
908,female,33,5
909,female,34,4
910,male,30,3
911,male,51,5
912,female,33,3
913,male,57,3
914,male,26,2
915,female,45,4
916,female,46,4
917,female,25,5
918,male,22,3
919,female,55,5
920,female,55,4
921,female,21,3
922,female,37,2
923,male,25,3
924,male,28,5
925,male,32,5
926,female,39,3
927,female,26,1
928,female,57,3
929,male,26,3
930,male,35,4
931,male,54,1
932,female,48,5
933,female,44,4
934,male,57,3
935,female,21,4
936,female,45,4
937,female,32,3
938,female,58,1
939,female,20,1
940,male,19,1
941,male,54,4
942,female,28,3
943,female,46,2
944,female,23,4
945,male,27,3
946,male,48,5
947,female,44,4
948,female,25,1
949,male,30,5
950,female,31,4
951,male,37,5
952,female,56,5
953,female,45,2
954,male,59,1
955,male,43,4
956,male,52,5
957,male,56,2
958,female,19,1
959,female,33,1
960,female,51,4
961,female,59,3
962,male,59,3
963,female,23,1
964,male,20,5
965,female,47,2
966,male,20,2
967,male,35,2
968,female,42,4
969,male,18,3
970,female,50,2
971,female,44,5
972,female,34,2
973,male,19,4
974,female,49,1
975,female,47,4
976,female,56,4
977,male,18,2
978,female,59,5
979,female,52,4
980,female,21,1
981,female,41,4
982,female,35,4
983,female,19,3
984,female,42,4
985,female,21,3
986,female,47,3
987,female,57,5
988,female,46,2
989,male,34,2
990,female,36,5
991,male,58,4
992,female,29,5
993,female,30,5
994,female,44,4
995,female,34,4
996,female,40,2
997,female,28,4
998,female,45,5
999,male,33,5
1000,male,49,3
1001,female,47,4
1002,male,30,5
1003,female,23,5
1004,male,28,1
1005,male,23,3
1006,male,31,2
1007,female,28,2
1008,male,22,4
1009,female,52,5
1010,female,47,1
1011,female,29,5
1012,female,55,1
1013,male,49,2
1014,female,34,1
1015,male,47,1
1016,male,28,3
1017,male,29,5
1018,female,45,1
1019,male,34,4
1020,female,20,3
1021,female,23,4
1022,female,35,4
1023,male,47,3
1024,male,22,3
1025,female,48,4
1026,female,40,1
1027,female,46,3
1028,male,45,2
1029,female,29,4
1030,male,59,2
1031,male,41,5
1032,female,53,5
1033,male,47,1
1034,female,41,3
1035,female,43,5
1036,female,54,3
1037,female,25,3
1038,female,35,4
1039,female,25,3
1040,female,34,4
1041,female,53,3
1042,male,24,2
1043,female,25,3
1044,female,57,5
1045,female,57,5
1046,female,39,5
1047,female,54,1
1048,male,51,3
1049,female,45,1
1050,female,54,2
1051,female,51,3
1052,female,53,1
1053,female,58,2
1054,male,25,4
1055,male,45,3
1056,female,39,1
1057,male,53,1
1058,female,37,3
1059,male,53,2
1060,female,38,5
1061,female,26,4
1062,female,55,2
1063,male,53,5
1064,male,34,2
1065,male,49,4
1066,female,58,1
1067,female,59,5
1068,female,23,5
1069,female,57,5
1070,male,24,5
1071,female,22,2
1072,female,51,1
1073,female,25,5
1074,female,34,1
1075,female,28,4
1076,female,20,3
1077,male,24,2
1078,female,48,3
1079,female,50,1
1080,male,18,2
1081,female,26,5
1082,male,39,4
1083,male,20,1
1084,male,58,1
1085,female,44,1
1086,female,59,4
1087,female,18,5
1088,female,45,2
1089,female,23,5
1090,female,41,2
1091,female,44,1
1092,female,35,1
1093,male,46,5
1094,male,58,2
1095,male,32,1
1096,male,43,5
1097,female,51,4
1098,male,46,4
1099,female,30,5
1100,male,42,1
1101,female,37,5
1102,female,46,2
1103,male,20,3
1104,female,34,4
1105,female,45,3
1106,female,37,5
1107,female,42,1
1108,female,56,5
1109,female,44,2
1110,female,54,2
1111,female,28,2
1112,male,21,1
1113,male,44,5
1114,male,39,2
1115,female,37,5
1116,male,46,1
1117,male,45,4
1118,male,23,3
1119,female,45,1
1120,female,59,3
1121,female,38,3
1122,male,27,2
1123,female,32,2
1124,female,41,4
1125,male,41,4
1126,male,45,5
1127,male,33,3
1128,female,44,1
1129,male,39,4
1130,female,59,4
1131,female,24,5
1132,female,38,4
1133,female,40,5
1134,female,21,3
1135,female,32,1
1136,male,38,4
1137,male,23,3
1138,female,43,2
1139,female,55,2
1140,male,50,4
1141,female,23,3
1142,female,50,1
1143,male,50,2
1144,female,28,1
1145,female,43,1
1146,female,22,5
1147,female,35,2
1148,female,27,1
1149,female,51,2
1150,male,19,1
1151,male,42,3
1152,female,24,1
1153,female,37,4
1154,male,40,3
1155,female,55,2
1156,female,48,5
1157,male,44,4
1158,female,53,2
1159,female,29,3
1160,male,52,4
1161,male,19,2
1162,female,22,2
1163,female,48,5
1164,female,44,5
1165,female,55,5
1166,female,44,3
1167,male,54,1
1168,male,42,2
1169,female,30,5
1170,male,44,3
1171,female,55,5
1172,female,47,5
1173,male,53,5
1174,female,53,3
1175,female,45,2
1176,female,57,3
1177,female,29,5
1178,female,52,2
1179,female,32,5
1180,male,25,5
1181,female,21,5
1182,female,55,1
1183,female,33,3
1184,male,55,2
1185,female,25,5
1186,female,48,5
1187,female,26,5
1188,female,35,4
1189,female,40,3
1190,male,42,3
1191,male,53,4
1192,male,46,2
1193,female,18,3
1194,male,22,1
1195,male,43,2
1196,male,57,2
1197,female,32,2
1198,female,23,2
1199,female,33,3
1200,female,54,1
1201,male,35,3
1202,male,51,4
1203,male,48,1
1204,female,19,5
1205,female,46,5
1206,female,24,2
1207,female,28,2
1208,female,33,2
1209,male,57,4
1210,male,39,1
1211,female,26,5
1212,female,32,1
1213,male,25,4
1214,female,32,3
1215,female,41,5
1216,male,29,3
1217,male,24,1
1218,female,42,2
1219,female,47,1
1220,female,58,2
1221,male,18,3
1222,female,50,2
1223,female,47,3
1224,female,48,3
1225,male,26,5
1226,male,44,3
1227,male,21,5
1228,female,57,1
1229,male,30,4
1230,female,44,5
1231,male,24,1
1232,female,29,5
1233,female,49,4
1234,male,19,1
1235,female,45,3
1236,female,43,3
1237,female,56,1
1238,female,57,5
1239,male,51,1
1240,female,45,2
1241,female,31,2
1242,female,56,2
1243,female,25,1
1244,female,22,1
1245,female,27,5
1246,male,57,4
1247,female,51,4
1248,male,37,1
1249,male,25,2
1250,male,57,3
1251,female,31,4
1252,male,56,1
1253,male,47,1
1254,female,43,5
1255,female,35,3
1256,female,52,2
1257,male,46,4
1258,female,59,2
1259,male,26,1
1260,male,47,5
1261,male,49,2
1262,female,18,5
1263,male,54,4
1264,male,33,3
1265,female,38,1
1266,female,21,5
1267,male,45,1
1268,male,25,5
1269,male,41,3
1270,male,18,4
1271,male,51,2
1272,female,26,2
1273,male,32,5
1274,female,39,5
1275,female,53,1
1276,male,45,5
1277,female,31,3
1278,male,20,5
1279,female,46,3
1280,female,18,1
1281,female,47,3
1282,female,26,4
1283,female,20,4
1284,female,44,3
1285,female,55,5
1286,male,49,1
1287,female,21,3
1288,female,28,5
1289,female,54,4
1290,male,45,2
1291,male,52,4
1292,female,22,5
1293,female,46,4
1294,female,49,1
1295,female,29,5
1296,female,44,2
1297,male,23,2
1298,male,31,4
1299,male,36,4
1300,female,23,4
1301,male,57,4
1302,female,23,1
1303,female,53,5
1304,male,26,2
1305,female,49,2
1306,female,43,3
1307,female,45,5
1308,female,22,2
1309,male,54,1
1310,male,56,5
1311,female,26,3
1312,female,42,3
1313,female,31,2
1314,female,36,5
1315,male,43,4
1316,female,48,2
1317,female,39,4
1318,male,18,1
1319,female,42,4
1320,male,50,2
1321,female,25,4
1322,female,24,4
1323,female,23,3
1324,female,27,3
1325,male,56,5
1326,male,24,2
1327,female,34,1
1328,female,53,1
1329,male,41,5
1330,male,23,5
1331,female,29,1
1332,male,28,4
1333,female,43,3
1334,female,32,5
1335,female,49,2
1336,female,35,2
1337,female,47,4
1338,female,30,5
1339,female,44,2
1340,male,59,2
1341,female,42,2
1342,female,18,2
1343,female,38,2
1344,female,38,5
1345,female,19,3
1346,male,37,4
1347,female,50,3
1348,female,20,3
1349,female,28,5
1350,female,18,3
1351,female,43,5
1352,male,23,5
1353,male,45,1
1354,male,37,2
1355,male,26,1
1356,female,38,4
1357,male,23,1
1358,male,46,1
1359,male,42,2
1360,male,34,3
1361,male,33,1
1362,male,52,4
1363,female,57,5
1364,male,38,2
1365,male,39,5
1366,female,39,5
1367,male,46,2
1368,female,30,3
1369,male,54,1
1370,female,32,2
1371,female,28,4
1372,female,49,2
1373,male,44,2
1374,male,34,4
1375,male,29,3
1376,female,41,5
1377,male,52,5
1378,female,33,4
1379,female,52,4
1380,female,21,4
1381,female,36,2
1382,female,46,2
1383,female,29,4
1384,female,55,5
1385,female,31,2
1386,male,32,2
1387,female,50,2
1388,female,40,4
1389,male,55,3
1390,male,47,4
1391,female,37,4
1392,female,22,4
1393,male,25,1
1394,female,54,2
1395,male,51,1
1396,female,38,3
1397,female,57,2
1398,female,18,2
1399,male,53,1
1400,female,59,3
1401,female,18,5
1402,male,52,5
1403,female,48,5
1404,male,40,5
1405,female,39,2
1406,female,48,2
1407,female,36,3
1408,male,52,5
1409,male,26,4
1410,male,44,4
1411,female,35,2
1412,female,46,3
1413,female,48,2
1414,female,31,4
1415,male,42,1
1416,female,45,1
1417,female,52,3
1418,male,36,5
1419,female,59,1
1420,male,48,1
1421,female,46,5
1422,male,31,1
1423,female,58,3
1424,female,44,5
1425,female,52,2
1426,male,50,3
1427,male,53,3
1428,female,32,5
1429,female,41,4
1430,male,29,2
1431,female,32,4
1432,female,30,1
1433,female,59,1
1434,female,23,1
1435,female,47,3
1436,female,33,2
1437,male,18,3
1438,male,48,2
1439,female,42,2
1440,male,26,4
1441,female,52,1
1442,male,23,3
1443,female,21,2
1444,male,58,1
1445,female,27,5
1446,male,24,2
1447,female,54,1
1448,male,18,5
1449,male,56,1
1450,female,32,3
1451,male,22,4
1452,female,25,5
1453,female,32,3
1454,male,25,2
1455,male,34,3
1456,male,52,1
1457,female,18,1
1458,male,42,3
1459,female,25,1
1460,male,34,1
1461,female,32,5
1462,female,36,4
1463,female,24,5
1464,female,55,3
1465,female,19,4
1466,female,48,2
1467,male,59,2
1468,female,48,1
1469,male,48,5
1470,female,55,3
1471,female,38,3
1472,female,35,1
1473,male,25,2
1474,male,51,5
1475,female,48,2
1476,male,41,3
1477,female,58,4
1478,female,34,5
1479,male,40,1
1480,male,18,2
1481,female,44,3
1482,female,29,1
1483,female,56,2
1484,female,30,4
1485,female,23,2
1486,male,30,1
1487,female,44,5
1488,female,51,5
1489,female,49,4
1490,female,22,1
1491,female,20,5
1492,female,49,1
1493,female,40,5
1494,female,20,1
1495,female,57,2
1496,male,48,5
1497,male,35,5
1498,male,20,2
1499,female,33,5
1500,male,53,2
1501,female,44,5
1502,female,55,5
1503,female,21,5
1504,female,40,3
1505,male,52,5
1506,female,46,5
1507,female,28,3
1508,female,36,5
1509,male,34,4
1510,male,48,2
1511,male,46,1
1512,male,54,5
1513,male,54,4
1514,female,44,2
1515,female,40,4
1516,female,48,5
1517,male,18,2
1518,male,30,5
1519,female,56,1
1520,female,53,5
1521,male,20,4
1522,female,19,4
1523,male,28,1
1524,female,55,2
1525,male,39,4
1526,female,48,4
1527,female,35,5
1528,female,48,2
1529,male,19,5
1530,female,54,5
1531,male,52,4
1532,female,27,4
1533,male,25,5
1534,female,21,2
1535,female,20,4
1536,female,28,3
1537,male,38,1
1538,female,36,1
1539,male,28,2
1540,male,39,2
1541,male,44,4
1542,female,39,1
1543,female,39,2
1544,male,36,1
1545,female,47,3
1546,male,54,3
1547,female,45,1
1548,female,49,3
1549,male,50,1
1550,female,57,2
1551,female,29,3
1552,male,50,5
1553,female,37,4
1554,female,48,3
1555,female,21,1
1556,female,36,5
1557,female,25,3
1558,male,32,3
1559,female,30,2
1560,male,28,2
1561,female,23,1
1562,female,26,4
1563,female,53,2
1564,male,45,3
1565,male,35,5
1566,female,32,2
1567,female,22,3
1568,male,29,2
1569,male,19,5
1570,female,51,1
1571,male,32,5
1572,male,25,3
1573,female,52,5
1574,female,47,2
1575,female,35,2
1576,female,28,3
1577,female,45,1
1578,female,48,2
1579,female,27,4
1580,female,45,5
1581,female,19,2
1582,female,20,1
1583,male,18,3
1584,male,58,1
1585,female,55,1
1586,male,52,3
1587,female,50,4
1588,female,24,2
1589,female,33,4
1590,female,34,5
1591,female,55,2
1592,female,36,4
1593,male,27,5
1594,female,18,5
1595,male,26,5
1596,female,21,5
1597,male,26,5
1598,female,38,2
1599,male,56,5
1600,female,37,1
1601,female,26,2
1602,female,24,4
1603,female,53,2
1604,female,37,2
1605,female,46,2
1606,male,53,4
1607,male,30,4
1608,male,25,1
1609,male,54,5
1610,female,30,5
1611,female,48,1
1612,female,46,4
1613,female,39,5
1614,female,30,2
1615,female,55,5
1616,male,59,2
1617,female,54,3
1618,female,35,2
1619,female,57,2
1620,female,39,5
1621,male,51,4
1622,female,25,3
1623,female,33,4
1624,female,31,1
1625,female,54,3
1626,female,30,1
1627,female,47,1
1628,male,43,2
1629,male,49,5
1630,female,48,3
1631,female,27,5
1632,female,26,3
1633,male,29,5
1634,female,52,4
1635,female,33,5
1636,female,29,3
1637,female,53,3
1638,female,23,1
1639,male,35,2
1640,female,46,4
1641,female,44,1
1642,female,27,2
1643,female,53,5
1644,female,35,2
1645,male,58,3
1646,male,38,5
1647,female,51,2
1648,male,52,5
1649,male,33,4
1650,female,45,4
1651,male,33,1
1652,female,26,4
1653,male,42,5
1654,male,58,4
1655,female,35,4
1656,male,39,5
1657,female,26,5
1658,male,36,5
1659,male,23,1
1660,female,48,3
1661,female,34,5
1662,female,22,4
1663,female,55,3
1664,female,48,4
